Timestamp,Resistance,Interval,Temperature,OldTimestamp
2019-05-10 02:54:28.200,644,0.862784,32.54,1557456868200
2019-05-10 02:56:58.600,684,0.74664,32.74,1557457018600
2019-05-10 02:58:58.900,804,0.8296,32.83,1557457138900
2019-05-10 03:05:30.000,1227,0.680272,33.1,1557457530000
2019-05-10 03:08:30.500,1138,0.730048,33.18,1557457710500
2019-05-10 03:13:31.300,1168,0.74664,33.54,1557458011300
2019-05-10 03:14:01.400,1174,0.74664,33.57,1557458041400
2019-05-10 03:16:31.800,1121,0.779824,33.67,1557458191800
2019-05-10 03:18:02.000,1121,0.763232,33.74,1557458282000
2019-05-10 03:19:02.200,1131,0.763232,33.76,1557458342200
2019-05-10 03:23:32.900,854,0.696864,33.72,1557458612900
2019-05-10 04:01:39.200,1968,0.680272,29.27,1557460899200
2019-05-10 04:08:40.300,795,0.713456,31.21,1557461320300
2019-05-10 04:17:41.800,1021,1.095072,32.73,1557461861800
2019-05-10 04:22:12.500,1016,0.680272,32.9,1557462132500
2019-05-10 04:22:42.600,916,0.730048,32.93,1557462162600
2019-05-10 04:25:13.000,1136,0.779824,33.03,1557462313000
2019-05-10 04:31:14.000,1141,0.929152,33.14,1557462674000
2019-05-10 04:33:44.400,1170,0.149328,33.18,1557462824400
2019-05-10 05:08:20.000,988,0.763232,33.83,1557464900000
2019-05-10 05:11:20.500,561,0.99552,33.34,1557465080500
2019-05-10 05:14:51.100,728,0.846192,32.52,1557465291100
2019-05-10 05:22:52.400,1670,0.813008,32.65,1557465772400
2019-05-10 05:33:24.100,1505,0.58072,33.76,1557466404100
2019-05-10 05:36:54.700,898,0.895968,33.66,1557466614700
2019-05-10 05:44:56.000,749,0.99552,33.58,1557467096000
2019-05-10 05:47:56.500,1318,0.796416,33.57,1557467276500
2019-05-10 05:50:26.900,1529,0.66368,33.52,1557467426900
2019-05-10 06:00:58.600,1156,0.813008,33.7,1557468058600
2019-05-10 06:17:31.300,494,0.680272,32.76,1557469051300
2019-05-10 06:35:34.700,364,0.696864,31.05,1557470134700
2019-05-10 06:44:06.000,375,0.265472,32.29,1557470646000
2019-05-10 06:55:37.900,406,1.095072,33.28,1557471337900
2019-05-10 08:09:50.200,3934,0.66368,33.55,1557475790200
2019-05-10 08:18:21.600,1953,0.282064,33.46,1557476301600
2019-05-10 08:20:52.000,1267,0.862784,33.41,1557476452000
2019-05-10 08:23:22.400,1145,0.929152,33.42,1557476602400
2019-05-10 08:25:22.700,710,0.846192,33.54,1557476722700
2019-05-10 08:34:24.200,436,0.779824,32.72,1557477264200
2019-05-10 08:36:24.500,495,0.846192,32.68,1557477384500
2019-05-10 08:38:54.900,635,0.895968,32.65,1557477534900
2019-05-10 08:39:55.100,546,0.8296,32.65,1557477595100
2019-05-10 08:48:56.500,512,0.895968,32.48,1557478136500
2019-05-10 08:49:26.600,484,0.730048,32.41,1557478166600
2019-05-10 08:51:26.900,481,0.846192,32.08,1557478286900
2019-05-10 08:51:57.000,552,0.962336,32.03,1557478317000
2019-05-10 08:56:57.800,502,0.879376,32.4,1557478617800
2019-05-10 08:57:27.900,437,0.597312,32.43,1557478647900
2019-05-10 09:01:58.700,348,0.66368,32.12,1557478918700
2019-05-10 09:05:59.300,500,0.8296,31.7,1557479159300
2019-05-10 09:07:29.600,426,1.07848,31.89,1557479249600
2019-05-10 09:10:00.000,419,1.2444,32.16,1557479400000
